Date,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volatility,Price_Range,Lag_1,Lag_5,Lag_10
2015-03-17,28.222421646118164,28.28462444486475,27.913627970269644,27.969166425564687,204092400,28.362716484069825,26.618290138247463,0.016726711677921502,0.014193411321048581,0.3709964745951062,27.758119583129883,27.66037368774414,28.737823486328125
2015-03-18,28.54010581970215,28.69339252092788,28.073583066505737,28.21353938399484,261083600,28.359939575195312,26.718870964053124,0.011256446295340394,0.014339414277938153,0.6198094544221426,28.222421646118164,27.15609359741211,28.55565643310547
2015-03-19,28.324621200561523,28.713390511157467,28.30240615036455,28.60231356527291,183238000,28.349387645721436,26.81509803772256,-0.007550238969046497,0.014432935143912253,0.41098436079291645,28.54010581970215,27.647048950195312,28.082475662231445
2015-03-20,27.96916961669922,28.524552538116783,27.804776244841232,28.491230817057243,274780400,28.309399700164796,26.897621955874413,-0.012549208737706152,0.014538135275444368,0.7197762932755509,28.324621200561523,27.45599365234375,28.124675750732425
2015-03-23,28.26019859313965,28.402376959471862,28.10691185338468,28.24020555485847,150838800,28.24508628845215,26.96764427185342,0.010405349190869995,0.013251210363079377,0.2954651060871818,27.96916961669922,27.758119583129883,28.244638442993164
2015-03-24,28.144676208496094,28.44458191910523,28.11579511873549,28.26463950967953,131369200,28.18421630859375,27.034825057986232,-0.004087812202126506,0.013224857958886154,0.3287868003697376,28.26019859313965,28.222421646118164,27.66037368774414
2015-03-25,27.409347534179688,28.173557491497697,27.409347534179688,28.111354670767117,206620800,28.124123954772948,27.099513931277247,-0.02612674130159054,0.013277197778768849,0.764209957318009,28.144676208496094,28.54010581970215,27.15609359741211
2015-03-26,27.60039329528809,27.742571620841588,27.236061124194823,27.271606553032868,190291600,28.055478000640868,27.16373100281045,0.006970095179032132,0.013003548135472871,0.5065104966467651,27.409347534179688,28.324621200561523,27.647048950195312
2015-03-27,27.380468368530277,27.7025908478472,27.304936855548284,27.67371145080698,158184800,27.99760684967041,27.225408210757227,-0.007968180902529265,0.01273411332726241,0.39765399229891685,27.60039329528809,27.96916961669922,27.45599365234375
2015-03-30,28.073583602905277,28.080247947451227,27.547078350082643,27.558186720925512,188398800,27.967394256591795,27.31413616180703,0.02531422125604066,0.014064120274538884,0.5331695973685839,27.380468368530277,28.26019859313965,27.758119583129883
2015-03-31,27.642602920532227,28.10023929752984,27.627052219223547,28.01137742080912,168362400,27.912633228302003,27.39791770935342,-0.015351822854865249,0.014401082794514714,0.47318707830629236,28.073583602905277,28.144676208496094,28.222421646118164
2015-04-01,27.602617263793945,27.795891733269624,27.34713998434433,27.72924489692644,162485600,27.864981269836427,27.4688175964293,-0.001446522849285703,0.01436218202680983,0.448751748925293,27.642602920532227,27.409347534179688,28.54010581970215
2015-04-02,27.840316772460938,27.893633214914885,27.589283564961924,27.775891961000312,128880400,27.8528733253479,27.540798263543557,0.00861148442538373,0.014081551067387081,0.304349649952961,27.602617263793945,27.60039329528809,28.324621200561523
2015-04-06,28.29129981994629,28.32684525874695,27.620395764132063,27.651497175632738,148776000,27.861204528808592,27.60918556212754,0.01619891940063889,0.014558073536785723,0.7064494946148869,27.840316772460938,27.380468368530277,27.96916961669922
