Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
02-01-2015,24.192607879638672,24.659510070593672,23.754471558295847,24.64844536553832,212818400
05-01-2015,23.511064529418945,24.042138324672056,23.325189629610737,23.962477170972235,257142000
06-01-2015,23.513267517089844,23.772165309183304,23.152579204524255,23.575225789908487,263188400
07-01-2015,23.842973709106445,23.94254925811913,23.61062851042855,23.721268759658745,160423600
08-01-2015,24.759082794189453,24.816616214984087,24.053197237023646,24.170477357014917,237458000
09-01-2015,24.78563690185547,25.060024333551862,24.387331204040734,24.931681198896364,214798000
12-01-2015,24.174903869628906,24.922831637875944,24.075328281845096,24.916193490455274,198603200
13-01-2015,24.38953971862793,24.96044387790698,24.099662771315515,24.657288951103045,268367600
14-01-2015,24.296607971191406,24.449290420951467,24.00894254649171,24.12843426037142,195826400
15-01-2015,23.63718605041504,24.354134491977135,23.601782043642775,24.340858200467093,240056000
16-01-2015,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,314053200
20-01-2015,24.05762291,24.11294304990514,23.56637979303794,23.862894935009866,199599600
21-01-2015,24.241283416748047,24.575415810890004,23.95804291228469,24.108513744434763,194303600
22-01-2015,24.87193489074707,24.88742446217416,24.278902931738003,24.39839463484841,215185600
23-01-2015,25.000276565551758,25.17066184134601,24.67941876430255,24.849805728333372,185859200
26-01-2015,25.02683448791504,25.305648505097142,24.960451323601063,25.168453931002503,222460000
27-01-2015,24.150564193725586,24.88964226473819,24.12622319302464,24.87636428093233,382274800
28-01-2015,25.515859603881836,26.13765909552136,25.515859603881836,26.02923041081558,585908400
29-01-2015,26.310260772705078,26.37443234220827,25.571182772424184,25.739356482562314,337745600
30-01-2015,25.92522430419922,26.553660116605485,25.85662620089734,26.199611652697993,334982000
02-02-2015,26.25050926208496,26.370000953586086,25.686244910716674,26.12216783483101,250956400
03-02-2015,26.25493621826172,26.352298507154856,26.02480425574212,26.2217438,207662800
04-02-2015,26.45630455,26.666522105734966,26.179703836194584,26.221747684954753,280598800
05-02-2015,26.645143508911133,26.709568353455527,26.491856751377924,26.662914535588886,168984800
06-02-2015,26.420761108398438,26.714004163225805,26.314126499870483,26.662908024891667,174826400
09-02-2015,26.59626007080078,26.62291744894482,26.309681391456404,26.336340464499866,155559200
10-02-2015,27.107210159301758,27.136091242542914,26.694005586143845,26.696225904162972,248034000
11-02-2015,27.742576599121094,27.75146295792522,27.213850962022807,27.27383176532612,294247200
12-02-2015,28.093578338623047,28.32017624,27.895861528916974,28.004716451194586,297898000
13-02-2015,28.23131752,28.27574762139696,27.913637380956622,28.27574762139696,217088800
17-02-2015,28.397930145263672,28.63119239,28.195769306193434,28.322396946689228,252609600
18-02-2015,28.595643997192383,28.60897268589637,28.313507657029223,28.353495418040563,179566800
19-02-2015,28.535659790039062,28.66450942275058,28.509002414236182,28.542324133989784,149449600
20-02-2015,28.76892852783203,28.76892852783203,28.446806067835475,28.573432021439938,195793600
23-02-2015,29.546466827392578,29.546466827392578,28.80447366197079,28.88444919649405,283896400
24-02-2015,29.362075805664062,29.679757593961313,29.139921941606865,29.533135230131812,276912400
25-02-2015,28.611194610595703,29.235449814940566,28.469016273438623,29.22656176210634,298846800
26-02-2015,28.973312377929688,29.073280958926343,28.12690652779856,28.611200421862183,365150000
27-02-2015,28.537891387939453,29.00663625092877,28.489017258922594,28.880006901257964,248059200
02-03-2015,28.67783546447754,28.942199049457813,28.50233544,28.713380888800554,192386800
03-03-2015,28.737823486328125,28.77336892,28.45568713477693,28.648963298182327,151265200
04-03-2015,28.55565643310547,28.782254325481713,28.506785701219396,28.680065445448587,126665200
05-03-2015,28.082475662231445,28.602314981152542,27.93807528645344,28.56454922445823,226068400
06-03-2015,28.124675750732422,28.74004114058892,28.049144258829877,28.524551645020985,291368400
09-03-2015,28.244638442993164,28.78447402467503,27.782558059471576,28.426804519875816,354114000
10-03-2015,27.66037368774414,28.262410360171007,27.502644672745152,28.082466301280466,275426400
11-03-2015,27.15609359741211,27.718142720878983,27.127214199155254,27.713700388416324,275756000
12-03-2015,27.647048950195312,27.747019210467062,27.02057509311064,27.171639795275006,193450800
13-03-2015,27.45599365234375,27.858093275490027,27.231619482991277,27.635939424321684,207309200
16-03-2015,27.758119583129883,27.758119583129883,27.29604091812747,27.520415059654415,143497200
17-03-2015,28.222421646118164,28.28462444486475,27.913627970269644,27.969166425564687,204092400
18-03-2015,28.54010581970215,28.69339252092788,28.073583066505737,28.213539383994842,261083600
19-03-2015,28.324621200561523,28.713390511157467,28.30240615036455,28.60231356527291,183238000
20-03-2015,27.96916961669922,28.524552538116783,27.804776244841232,28.491230817057243,274780400
23-03-2015,28.26019859313965,28.402376959471866,28.106911853384677,28.24020555485847,150838800
24-03-2015,28.144676208496094,28.44458191910523,28.11579511873549,28.264639509679526,131369200
25-03-2015,27.409347534179688,28.173557491497697,27.409347534179688,28.111354670767113,206620800
26-03-2015,27.600393295288086,27.742571620841588,27.236061124194826,27.271606553032868,190291600
27-03-2015,27.380468368530273,27.702590847847198,27.304936855548284,27.67371145080698,158184800
30-03-2015,28.073583602905273,28.080247947451227,27.547078350082643,27.558186720925512,188398800
31-03-2015,27.642602920532227,28.10023929752984,27.627052219223547,28.011377420809122,168362400
01-04-2015,27.602617263793945,27.795891733269624,27.34713998434433,27.72924489692644,162485600
02-04-2015,27.840316772460938,27.893633214914885,27.589283564961924,27.775891961000312,128880400
06-04-2015,28.29129981994629,28.32684525874695,27.620395764132066,27.651497175632738,148776000
07-04-2015,27.993621826171875,28.46236513673012,27.986957478353077,28.35573218182881,140049200
08-04-2015,27.90252685546875,28.08025063657794,27.762570521902486,27.958065325202924,149316800
09-04-2015,28.11578369140625,28.120227716439953,27.693692837747573,27.958054700688724,129936000
10-04-2015,28.235754013061523,28.260191072168222,27.826991742366516,27.980276746427457,160752000
13-04-2015,28.18021583557129,28.56232242775019,28.126899385571637,28.517888945434937,145460400
14-04-2015,28.058032989501953,28.27796483,27.971393120331427,28.213540012397917,102098400
15-04-2015,28.16466713,28.242420644379937,27.99360939681727,28.082471283046583,115881600
16-04-2015,28.02914810180664,28.23575122986243,28.015819414480205,28.05358515850458,113476000
17-04-2015,27.713695526123047,28.022489272545602,27.649270699868765,27.891419301645175,207828000
20-04-2015,28.346830368041992,28.462349622032768,27.806996455276874,27.895858332523268,188217200
21-04-2015,28.193553924560547,28.48013098094247,28.140235765089624,28.457917623512692,129740400
22-04-2015,28.573427200317383,28.62896566300797,28.06247436050361,28.211317033738535,150618000
23-04-2015,28.806690216064453,28.973305608731458,28.466795086207675,28.502340516861693,183083600
24-04-2015,28.94220542907715,29.019960638198242,28.70894319151285,28.98885923,178103600
27-04-2015,29.46870994567871,29.575346245548285,29.135479135634252,29.393178442287084,387816800
28-04-2015,29.004404067993164,29.888575379490185,28.784473941475714,29.870806055766316,475696000
29-04-2015,28.577869415283203,29.233222555537754,28.502337924362703,28.915544196184648,253544400
30-04-2015,27.80255889892578,28.57787547888214,27.675931252944945,28.57787547888214,332781600
01-05-2015,28.64674186706543,28.90888520558984,27.835881568938238,28.013603654255334,234050400
04-05-2015,28.591201782226562,29.00663181534385,28.49345353914014,28.768925552401967,203953200
05-05-2015,27.946958541870117,28.535664962892916,27.942514515164522,28.469018121505634,197085600
06-05-2015,27.77145767211914,28.15800495791627,27.404903422444445,28.11579517734717,288564000
07-05-2015,27.943227767944336,28.126154782564676,27.666605100388406,27.83391646,175763600
08-05-2015,28.46970558166504,28.46970558166504,28.132851520225067,28.26000810339415,222201600
11-05-2015,28.17969512939453,28.456316106647098,28.025768130626794,28.41839260613247,168143200
12-05-2015,28.079309463500977,28.304620877619083,27.845072870312944,28.01907641863355,192640000
13-05-2015,28.110553741455078,28.373790480057117,28.079322408229416,28.141785074680744,138776800
14-05-2015,28.766403198242188,28.766403198242188,28.367088193902088,28.422858655086724,180814000
15-05-2015,28.726242065429688,28.886861221033353,28.60131681195081,28.79316728092419,152832000
18-05-2015,29.043025970458984,29.161259076095174,28.63478578527864,28.639248375290993,203531600
19-05-2015,29.016258239746094,29.196953995956324,28.92033127294328,29.154567899273147,178532800
20-05-2015,29.014020919799805,29.21925578540813,28.853401737330955,29.000636555253806,145819600
21-05-2015,29.310726165771484,29.36426704,28.96271900029755,29.016259873431665,158921600
22-05-2015,29.567258834838867,29.663185774227095,29.312945731377887,29.357564812372207,182384000
26-05-2015,28.915864944458008,29.649806051808497,28.804324032431605,29.580651230985488,282790400
27-05-2015,29.455726623535156,29.504804903930342,29.01179591081366,29.07648815099333,183332800
28-05-2015,29.397724151611328,29.43564765535413,29.246030136640115,29.41557110701242,122933200
29-05-2015,29.063098907470703,29.32410422543376,28.978326727566014,29.275025953274035,203538000
01-06-2015,29.121103286743164,29.310724221383353,29.01179535845598,29.063103230998106,128451200
02-06-2015,28.991716384887695,29.147872986498268,28.848944148563945,28.96940684010392,134670400
03-06-2015,29.02741050720215,29.210339266134035,28.97833222573062,29.147876617708278,123934000
04-06-2015,28.85786247253418,29.13002254734294,28.75747634093119,28.906940742021543,153800400
05-06-2015,28.699472427368164,28.931479407354722,28.634780202616195,28.889093320398054,142507200
08-06-2015,28.509859085083008,28.824405288183716,28.293469433641413,28.75524706027214,210699200
09-06-2015,28.42508316040039,28.57231796852488,28.02353693293006,28.26446398862062,224301600
10-06-2015,28.75078582763672,28.853401557823254,28.521010125158224,28.536625784357813,156349200
11-06-2015,28.68609046936035,29.04078974685961,28.661551332957096,28.817707926451256,141563600
